total_bill,tip,sex,smoker,day,time,size
52.65,6.26,Female,Yes,Sat,Dinner,2
25.36,3.62,Male,No,Sat,Dinner,2
35.57,5.9,Female,No,Sat,Dinner,4
31.23,3.95,Male,No,Fri,Dinner,2
28.01,2.83,Female,No,Thur,Dinner,2
31.68,4.81,Male,No,Sun,Dinner,2
33.86,5.44,Male,Yes,Thur,Lunch,4
34.41,6.75,Male,Yes,Sat,Dinner,2
13.04,2.07,Male,Yes,Thur,Lunch,2
32.47,4.78,Female,Yes,Thur,Lunch,2
19.52,3.07,Female,No,Sun,Dinner,2
34.91,6.73,Male,Yes,Thur,Dinner,2
26.24,4.8,Female,Yes,Sun,Dinner,4
12.97,1.72,Female,Yes,Sun,Dinner,2
36.88,4.56,Female,No,Sun,Dinner,2
15.83,2.0,Male,Yes,Thur,Lunch,2
19.15,2.88,Male,Yes,Sun,Dinner,2
40.44,7.05,Male,Yes,Sun,Dinner,2
22.94,3.45,Female,No,Thur,Dinner,6
18.82,2.01,Male,Yes,Sun,Dinner,4
21.03,3.62,Male,Yes,Sun,Dinner,4
18.66,3.37,Male,Yes,Sun,Dinner,4
29.54,3.81,Male,No,Sat,Dinner,2
18.89,3.14,Female,Yes,Sat,Dinner,2
21.31,3.04,Female,No,Sun,Dinner,1
27.13,5.13,Male,No,Fri,Dinner,2
25.93,4.78,Female,No,Thur,Lunch,2
16.35,2.49,Male,Yes,Sat,Dinner,2
29.69,5.02,Male,No,Sat,Dinner,3
17.55,3.31,Male,No,Sat,Dinner,4
14.15,2.12,Male,Yes,Sat,Dinner,3
10.26,1.35,Male,Yes,Sun,Dinner,4
20.17,3.54,Female,No,Sun,Dinner,2
11.07,1.35,Male,Yes,Thur,Lunch,1
15.45,2.15,Female,Yes,Sun,Dinner,3
21.53,4.02,Male,No,Sat,Dinner,2
33.55,5.79,Male,No,Thur,Lunch,2
19.35,2.72,Male,No,Sat,Dinner,2
11.98,1.46,Male,No,Sat,Dinner,2
20.75,2.81,Male,No,Thur,Lunch,2
33.02,4.24,Male,Yes,Sun,Dinner,2
19.17,2.25,Male,Yes,Thur,Lunch,2
35.88,6.26,Male,No,Sat,Dinner,3
21.48,2.69,Male,No,Thur,Lunch,2
28.47,4.14,Female,No,Fri,Lunch,2
23.62,3.27,Female,No,Fri,Lunch,2
35.17,6.97,Male,No,Thur,Dinner,2
46.98,6.54,Female,Yes,Sat,Dinner,3
17.89,1.93,Female,Yes,Sat,Dinner,3
23.07,2.51,Male,No,Sat,Dinner,3
33.54,5.34,Male,Yes,Thur,Lunch,2
23.95,3.83,Male,No,Thur,Lunch,2
10.06,1.43,Female,Yes,Sun,Dinner,2
19.29,2.76,Male,No,Thur,Lunch,2
23.87,2.52,Female,No,Thur,Dinner,2
39.11,5.93,Female,Yes,Fri,Dinner,2
22.58,3.4,Male,No,Thur,Lunch,2
15.05,1.73,Male,Yes,Sun,Dinner,3
24.09,2.66,Male,No,Sun,Dinner,2
37.47,4.21,Male,No,Sun,Dinner,3
16.79,1.85,Male,No,Sun,Dinner,2
17.64,2.84,Male,No,Sat,Dinner,2
16.89,2.02,Male,Yes,Thur,Lunch,5
12.59,1.58,Male,No,Thur,Lunch,4
22.18,2.6,Female,Yes,Sat,Dinner,2
21.16,4.14,Male,Yes,Sun,Dinner,2
10.49,1.95,Female,Yes,Sun,Dinner,2
15.51,1.91,Female,No,Sun,Dinner,2
23.34,3.1,Male,Yes,Sat,Dinner,4
28.2,3.41,Female,No,Sat,Dinner,4
31.28,4.67,Male,No,Sun,Dinner,2
29.11,2.97,Male,No,Sat,Dinner,2
21.65,3.62,Male,No,Sun,Dinner,2
11.79,1.8,Male,No,Sat,Dinner,2
19.79,3.76,Male,Yes,Sat,Dinner,4
7.73,0.9,Male,No,Sat,Dinner,4
23.38,4.22,Male,No,Sat,Dinner,2
16.56,2.97,Male,Yes,Fri,Dinner,2
8.97,1.01,Male,No,Sun,Dinner,2
25.08,3.51,Male,No,Sat,Dinner,2
37.28,4.36,Male,No,Thur,Lunch,4
11.13,1.4,Male,Yes,Sat,Dinner,2
25.9,3.27,Male,No,Fri,Lunch,2
18.47,2.87,Male,No,Sat,Dinner,2
15.82,2.23,Female,No,Sat,Dinner,4
15.84,3.09,Male,Yes,Sun,Dinner,2
18.47,2.08,Female,Yes,Sat,Dinner,4
18.44,3.64,Male,Yes,Sun,Dinner,4
21.31,2.62,Female,No,Sun,Dinner,4
15.22,2.7,Male,No,Sat,Dinner,2
16.46,2.2,Male,No,Sat,Dinner,2
26.86,3.07,Male,No,Sun,Dinner,2
14.69,2.73,Male,No,Thur,Dinner,2
23.98,3.14,Male,No,Sat,Dinner,2
18.85,3.13,Male,No,Sun,Dinner,2
17.34,2.72,Female,Yes,Sat,Dinner,2
42.18,6.21,Male,No,Thur,Lunch,4
12.71,1.9,Male,Yes,Sat,Dinner,2
38.34,6.64,Female,No,Sat,Dinner,2
29.83,3.24,Male,No,Sat,Dinner,3
16.73,2.79,Female,No,Sat,Dinner,3
30.17,5.72,Male,No,Fri,Lunch,4
6.68,0.71,Female,No,Thur,Dinner,3
16.11,1.84,Male,No,Sun,Dinner,4
14.77,2.54,Female,Yes,Sat,Dinner,2
25.2,3.62,Female,Yes,Thur,Dinner,2
28.42,3.99,Male,No,Sun,Dinner,1
25.04,2.85,Male,Yes,Fri,Lunch,1
22.76,3.43,Male,Yes,Fri,Lunch,2
30.98,3.49,Female,No,Sun,Dinner,2
29.22,4.31,Male,Yes,Fri,Lunch,2
16.57,2.92,Male,No,Sat,Dinner,2
17.31,2.18,Male,No,Thur,Dinner,2
28.55,4.23,Male,No,Sat,Dinner,4
21.23,4.23,Male,No,Sat,Dinner,1
21.81,3.68,Female,No,Sat,Dinner,3
22.93,4.22,Male,No,Thur,Lunch,2
10.24,1.45,Female,Yes,Sun,Dinner,4
16.28,2.88,Male,Yes,Sat,Dinner,4
26.06,2.71,Male,Yes,Sun,Dinner,2
16.23,1.82,Male,Yes,Sat,Dinner,3
19.69,2.37,Male,Yes,Sat,Dinner,1
25.99,3.64,Female,No,Sat,Dinner,6
31.68,5.85,Female,No,Sat,Dinner,4
33.2,4.47,Male,No,Sun,Dinner,4
33.97,5.62,Male,Yes,Sun,Dinner,2
20.43,3.49,Male,No,Sun,Dinner,2
19.59,3.11,Female,Yes,Sat,Dinner,4
13.31,1.81,Female,No,Fri,Lunch,2
37.37,5.89,Female,No,Sun,Dinner,2
19.27,2.59,Male,Yes,Fri,Lunch,2
37.01,4.01,Male,No,Thur,Dinner,4
24.24,4.83,Male,No,Sat,Dinner,2
32.27,3.64,Male,No,Sat,Dinner,2
20.97,2.25,Male,No,Thur,Dinner,2
27.02,5.08,Male,Yes,Sun,Dinner,3
32.72,4.26,Male,No,Sat,Dinner,2
17.68,2.92,Female,No,Thur,Lunch,2
34.04,4.52,Female,No,Sat,Dinner,1
14.02,1.95,Male,Yes,Thur,Lunch,3
41.71,5.26,Male,No,Sun,Dinner,6
22.97,3.08,Male,Yes,Thur,Dinner,3
16.38,2.31,Female,Yes,Sat,Dinner,2
29.6,5.09,Female,No,Sat,Dinner,4
24.68,3.73,Female,Yes,Sat,Dinner,2
10.44,2.03,Female,No,Sat,Dinner,2
18.47,1.92,Male,No,Thur,Dinner,2
14.28,2.15,Male,No,Sat,Dinner,2
14.78,2.34,Male,Yes,Thur,Dinner,3
14.57,2.8,Male,Yes,Sat,Dinner,2
26.51,2.78,Female,No,Sun,Dinner,2
30.51,4.8,Male,No,Sun,Dinner,2
15.8,2.93,Male,Yes,Sun,Dinner,2
9.41,1.17,Male,Yes,Sat,Dinner,2
7.71,1.45,Female,Yes,Sat,Dinner,2
45.79,4.67,Male,No,Thur,Lunch,2
23.07,4.0,Male,Yes,Thur,Dinner,2
29.68,5.74,Male,No,Sun,Dinner,3
20.03,3.32,Male,No,Sun,Dinner,3
8.67,1.25,Male,Yes,Sun,Dinner,2
25.47,2.66,Female,Yes,Sat,Dinner,4
39.87,7.66,Male,No,Sun,Dinner,4
16.74,2.46,Female,No,Sun,Dinner,3
8.31,0.86,Male,Yes,Fri,Dinner,2
13.28,2.24,Male,No,Thur,Lunch,2
30.26,4.48,Female,Yes,Sun,Dinner,6
24.61,2.77,Male,Yes,Sat,Dinner,2
